stop_id,stop_name,stop_lat,stop_lon
1,30TH ST. PHL.,39.956565,-75.182327
2,ABSECON,39.424333,-74.502094
3,ALLENDALE,41.030902,-74.130957
4,ALLENHURST,40.237659,-74.006769
5,ANDERSON STREET,40.894458,-74.043781
6,ANNANDALE,40.645173,-74.878569
8,ASBURY PARK,40.215359,-74.014786
9,ATCO,39.783547,-74.907588
10,ATLANTIC CITY,39.363299,-74.441486
11,AVENEL,40.57762,-74.27753
12,BASKING RIDGE,40.711378,-74.55527
13,BAY HEAD,40.077178,-74.046183
14,BAY STREET,40.808178,-74.208681
15,BELMAR,40.18059,-74.027301
17,BERKELEY HEIGHTS,40.682345,-74.442649
18,BERNARDSVILLE,40.716845,-74.571023
19,BLOOMFIELD,40.792709,-74.200043
20,BOONTON,40.903378,-74.407736
21,BOUND BROOK,40.560929,-74.530617
22,BRADLEY BEACH,40.203751,-74.018891
23,BRICK CHURCH,40.765134,-74.218612
24,BRIDGEWATER,40.559904,-74.551741
25,BROADWAY,40.922505,-74.115236
27,CHATHAM,40.740137,-74.384812
28,CHERRY HILL,39.928447,-75.041661
29,CLIFTON,40.867998,-74.153206
30,CONVENT,40.779038,-74.443435
31,ROSELLE PARK,40.66715,-74.266323
32,CRANFORD,40.655523,-74.303226
33,DELAWANNA,40.831369,-74.131262
34,DENVILLE,40.8839,-74.481513
35,DOVER,40.883415,-74.555887
36,DUNELLEN,40.590869,-74.463043
37,EAST ORANGE,40.760977,-74.210464
38,EDISON STATION,40.519148,-74.410972
39,EGG HARBOR,39.526441,-74.648028
40,ELBERON,40.265292,-73.99762
41,ELIZABETH,40.667857,-74.215174
42,EMERSON,40.975036,-74.027474
43,ESSEX STREET,40.878973,-74.051893
44,FANWOOD,40.64106,-74.385003
45,FAR HILLS,40.68571,-74.633734
46,GARFIELD,40.866669,-74.10556
47,GARWOOD,40.652569,-74.324794
48,GILLETTE,40.678251,-74.468317
49,GLADSTONE,40.720284,-74.666371
50,GLEN RIDGE,40.80059,-74.204655
51,GLEN ROCK BORO HALL,40.96137,-74.1293
52,GLEN ROCK MAIN LINE,40.962206,-74.133485
54,HACKETTSTOWN,40.851444,-74.835352
55,HAMMONTON,39.631673,-74.79946
58,HAWTHORNE,40.942539,-74.152411
59,HAZLET,40.415385,-74.190393
60,HIGH BRIDGE,40.666884,-74.895863
61,HIGHLAND AVENUE,40.766863,-74.243744
62,HILLSDALE,41.002414,-74.041033
63,HOBOKEN,40.734843,-74.028046
64,HOHOKUS,40.997369,-74.113521
67,LAKE HOPATCONG,40.904219,-74.665697
68,LEBANON,40.636903,-74.835766
69,LINCOLN PARK,40.924138,-74.301826
70,LINDEN,40.629485,-74.251772
71,LINDENWOLD,39.833809,-75.000314
72,LITTLE FALLS,40.880669,-74.235372
73,LITTLE SILVER,40.326715,-74.041054
74,LONG BRANCH,40.297145,-73.988331
75,LYNDHURST,40.814165,-74.122696
76,LYONS,40.684844,-74.54947
77,MADISON,40.757028,-74.415105
78,MAHWAH,41.094416,-74.14662
